block_number,log_index,z,trade_size_usdc,adverse_slippage,z_cap_roll,scale_roll,size_eff_roll,cost_eff_roll
410742320,29,8.955784367443861e-07,58141617870.11686,0.0,,,,
410742327,46,7.939016478644439e-07,51540685151.36111,0.0,,,,
410742338,41,7.209246989240898e-07,46802967376.420845,0.0,,,,
410742341,6,6.417291902309728e-07,41661536079.56733,0.0,,,,
410742367,6,1.6534621497694283e-08,1076657989.420868,0.0005012886504788666,,,,
410742444,43,1.3704137839913305e-08,892350000.0,0.0005012769176219973,,,,
410742504,37,6.752298133488474e-07,43967838836.74479,0.0,,,,
410742559,64,5.808494026094473e-07,37822223511.86007,0.0005326734612654285,,,,
410742559,120,2.0360002084073157e-06,132574906002.53346,0.0006140500076719229,,,,
410742563,53,8.958249002908417e-07,58157618466.76926,0.0005502461653900632,,,,
410742567,20,7.371046283666882e-07,47853380423.6987,0.0005413867077921489,,,,
410742591,9,6.428500181496279e-07,41734301061.24945,0.0005361280616859428,,,,
410742948,13,1.245016687689606e-06,80827408887.50128,0.0,,,,
410742951,3,8.955750785797159e-07,58141399855.57007,0.0,,,,
410742968,6,7.479428877992949e-07,48557008283.027855,0.0,,,,
410742972,25,7.27232661207542e-07,47212484977.08664,0.0,,,,
410742984,64,6.934488112443208e-07,45019212323.17659,0.0,,,,
410742986,36,7.962005305609421e-07,51844891794.41524,0.0,,,,
410742991,60,3.1620571674679488e-06,205898521041.72025,0.0,,,,
410742992,76,5.196373010354291e-07,33836374896.087494,0.0,,,,
410742992,85,4.0701971080188965e-07,26503238888.63949,0.0,,,,
410743008,18,7.116855304989466e-08,4634166633.168896,0.000504290820538056,,,,
410743102,98,6.028295622356578e-07,39253469728.99335,0.0,,,,
410743105,3,6.133758813825382e-07,39940197197.78085,0.0,,,,
410743111,15,1.3119211182588112e-06,85426228454.05182,0.0,,,,
410743116,3,6.421005289349492e-07,41810613238.74766,0.0,,,,
410743233,34,5.814803517616037e-07,37863307999.07874,0.0,,,,
410743265,27,8.949970369411987e-07,58202467389.787834,0.0,,,,
410743265,70,1.6574174077561037e-06,107783354183.91907,0.0,,,,
410743265,92,9.086110486920715e-07,59087798896.22769,0.0,,,,
410743265,101,5.475209032927604e-07,35605779911.8923,0.0,,,,
410743265,122,3.3162033145070786e-07,21565570309.6127,0.0,,,,
410743265,156,2.0192966639990683e-06,131316689760.65529,0.0,,,,
410743266,8,8.157543293459661e-09,530492423.909066,0.0005007058147816939,,,,
410743266,156,2.6878898235141616e-07,17479590807.930664,0.0,,,,
410743267,48,1.1378938219667896e-07,7399826517.013856,0.0,,,,
410743267,51,5.683168789421111e-07,36958161031.171555,0.0,,,,
410743267,56,4.1462988742509144e-09,269637568.680306,0.0005004817542746331,,,,
410743267,95,2.968200480454365e-07,19302476381.42157,0.0005168369795229518,,,,
410743278,3,6.343766231729059e-07,41254085990.33225,0.0,,,,
410743279,73,4.37902055135419e-06,284771669982.8001,0.0,,,,
